DATE_TIME,LATITUDE,LONGITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES,Yogunluk
2024-10-19 11:00:00,41.0586547851563,29.2950439453125,sxkcdd,30,149,81,87,Az
2024-10-01 19:00:00,41.2069702148438,28.8226318359375,sxk6rv,35,146,84,208,Orta
2024-10-22 20:00:00,41.1630249023438,29.0203857421875,sxkdhm,40,77,56,4,Az
2024-10-29 23:00:00,40.9982299804688,29.1412353515625,sxk9pp,6,145,76,336,Cok
2024-10-25 23:00:00,41.1026000976563,28.8775634765625,sxk9c4,6,79,37,47,Az
2024-10-01 15:00:00,40.9487915039063,29.2950439453125,sxkbfw,1,51,26,97,Az
2024-10-01 22:00:00,41.0696411132813,29.0423583984375,sxk9su,6,55,26,28,Az
2024-10-15 13:00:00,41.1245727539063,28.2183837890625,sxk1fn,48,63,57,3,Az
2024-10-23 00:00:00,41.0696411132813,28.9324951171875,sxk9dk,4,72,31,28,Az
2024-10-28 16:00:00,41.2509155273438,28.5809326171875,sxk6dm,44,134,79,30,Az
2024-10-12 23:00:00,41.0696411132813,29.0093994140625,sxk9sh,2,96,37,246,Orta
2024-10-23 00:00:00,41.1355590820313,29.1302490234375,sxkdnb,36,97,62,34,Az
2024-10-15 01:00:00,40.9982299804688,28.9215087890625,sxk94p,3,80,36,24,Az
2024-10-14 15:00:00,41.0916137695313,28.6468505859375,sxk3gb,2,81,44,115,Orta
2024-10-08 06:00:00,41.0806274414063,28.7127685546875,sxk3tq,44,44,44,1,Az
2024-10-11 13:00:00,41.0806274414063,28.9984130859375,sxk9ey,2,54,17,91,Az
2024-10-29 04:00:00,40.9982299804688,29.1082763671875,sxk9nr,11,137,81,47,Az
2024-10-03 09:00:00,40.9158325195313,29.2071533203125,sxkbb8,2,64,21,84,Az
2024-10-06 17:00:00,41.2179565429688,28.0755615234375,sx7fqz,87,128,100,4,Az
2024-10-25 15:00:00,41.2728881835938,28.6029052734375,sxk6fc,57,103,78,15,Az
2024-10-27 15:00:00,41.0751342773438,29.0423583984375,sxk9sv,3,51,17,21,Az
2024-10-13 13:00:00,41.1959838867188,28.4490966796875,sxk4r7,18,69,41,7,Az
2024-10-21 13:00:00,41.1190795898438,29.0423583984375,sxk9uv,6,84,43,39,Az
2024-10-07 17:00:00,41.0366821289063,29.0643310546875,sxk9mq,5,62,26,70,Az
2024-10-21 17:00:00,41.2289428710938,29.0753173828125,sxkdt9,80,161,108,20,Az
2024-10-04 04:00:00,40.9982299804688,29.2291259765625,sxkc1p,18,58,40,11,Az
2024-10-20 00:00:00,41.1300659179688,28.2843017578125,sxk1gx,47,98,68,3,Az
2024-10-23 06:00:00,41.0531616210938,28.4600830078125,sxk1x9,37,135,91,44,Az
2024-10-05 07:00:00,41.0202026367188,28.5809326171875,sxk367,4,139,65,325,Cok
2024-10-12 08:00:00,41.1959838867188,28.6688232421875,sxk6k7,23,72,48,39,Az
2024-10-15 15:00:00,41.0971069335938,28.7786865234375,sxk3yc,10,44,29,10,Az
2024-10-26 03:00:00,40.9927368164063,29.1851806640625,sxkc0n,6,145,89,158,Orta
2024-10-07 15:00:00,41.0861206054688,28.7896728515625,sxk3xp,5,90,40,120,Orta
2024-10-06 23:00:00,41.0092163085938,28.9544677734375,sxk96c,1,80,26,106,Orta
2024-10-31 01:00:00,41.2124633789063,29.0972900390625,sxkdqn,49,132,93,64,Az
2024-10-04 00:00:00,41.1959838867188,29.0423583984375,sxkdkg,42,62,49,3,Az
2024-10-04 22:00:00,41.0037231445313,29.2510986328125,sxkc38,9,70,36,44,Az
2024-10-07 16:00:00,41.2124633789063,29.0423583984375,sxkdky,6,67,35,39,Az
2024-10-01 16:00:00,41.1849975585938,29.1961669921875,sxkf23,33,92,59,30,Az
2024-10-30 12:00:00,41.1135864257813,28.1744384765625,sxk1ch,50,137,88,50,Az
2024-10-29 04:00:00,40.8059692382813,29.3719482421875,sxkbhk,47,147,85,46,Az
2024-10-08 09:00:00,41.1630249023438,28.3721923828125,sxk4jt,58,171,120,49,Az
2024-10-26 07:00:00,41.3278198242188,27.9766845703125,sx7ghe,2,58,18,66,Az
2024-10-30 12:00:00,40.8499145507813,29.3060302734375,sxkb6u,4,129,41,195,Orta
2024-10-25 20:00:00,41.0366821289063,29.0863037109375,sxk9my,5,38,22,25,Az
2024-10-21 09:00:00,40.9542846679688,29.1522216796875,sxk8zr,9,40,23,9,Az
2024-10-30 19:00:00,41.2454223632813,28.6468505859375,sxk6eu,63,180,98,177,Orta
2024-10-06 01:00:00,41.1355590820313,28.8116455078125,sxk6p8,4,123,72,55,Az
2024-10-08 22:00:00,41.0476684570313,28.6248779296875,sxk3e2,3,110,46,86,Az
2024-10-08 14:00:00,41.1685180664063,28.0975341796875,sx7fpq,73,93,81,4,Az
2024-10-02 21:00:00,41.0861206054688,28.2513427734375,sxk1dz,3,95,53,22,Az
2024-10-20 01:00:00,41.0037231445313,28.7127685546875,sxk3m2,3,78,37,28,Az
2024-10-08 23:00:00,41.0202026367188,29.0313720703125,sxk9ke,1,63,29,62,Az
2024-10-23 23:00:00,40.8663940429688,29.3829345703125,sxkbkx,27,138,65,161,Orta
2024-10-11 09:00:00,41.1080932617188,28.9984130859375,sxk9gg,5,66,30,156,Orta
2024-10-25 05:00:00,41.2289428710938,28.9764404296875,sxkde3,62,155,89,168,Orta
2024-10-18 05:00:00,41.0256958007813,28.5919189453125,sxk36s,6,103,59,128,Orta
2024-10-13 01:00:00,40.9323120117188,29.1192626953125,sxk8ye,11,139,51,30,Az
2024-10-28 19:00:00,41.1410522460938,28.6248779296875,sxk653,29,117,69,74,Az
2024-10-29 18:00:00,41.1849975585938,28.5699462890625,sxk661,43,187,98,86,Az
2024-10-26 02:00:00,40.7949829101563,29.4049072265625,sxkbj4,58,120,83,29,Az
2024-10-25 16:00:00,40.9707641601563,29.1961669921875,sxkc06,4,117,28,152,Orta
2024-10-20 16:00:00,41.1080932617188,28.1634521484375,sxk1bg,38,130,83,56,Az
2024-10-24 13:00:00,41.1080932617188,28.5809326171875,sxk3f7,35,137,85,182,Orta
2024-10-27 16:00:00,41.2619018554688,28.6798095703125,sxk6sx,46,140,81,54,Az
2024-10-19 12:00:00,41.0476684570313,28.8665771484375,sxk98b,2,71,20,139,Orta
2024-10-16 21:00:00,41.1465454101563,28.8006591796875,sxk6p6,10,119,53,91,Az
2024-10-06 16:00:00,40.9927368164063,29.1192626953125,sxk9nw,3,132,54,217,Orta
2024-10-30 19:00:00,40.8499145507813,29.3170166015625,sxkb7h,34,89,61,12,Az
2024-10-12 09:00:00,40.9158325195313,29.1632080078125,sxk8z8,2,63,25,62,Az
2024-10-31 23:00:00,41.1630249023438,28.5150146484375,sxk60v,59,165,92,113,Orta
2024-10-15 18:00:00,41.0202026367188,27.9986572265625,sx7cm5,35,122,75,22,Az
2024-10-05 07:00:00,41.2289428710938,28.8665771484375,sxkd8c,58,149,89,132,Orta
2024-10-26 11:00:00,41.0641479492188,28.9984130859375,sxk9eg,1,108,30,405,Cok
2024-10-17 13:00:00,41.0421752929688,29.2730712890625,sxkc6p,7,164,70,470,Cok
2024-10-04 15:00:00,40.8883666992188,29.3499755859375,sxkbeg,11,88,49,94,Az
2024-10-30 20:00:00,41.1685180664063,28.0975341796875,sx7fpq,69,90,80,2,Az
2024-10-24 12:00:00,40.9652709960938,29.0533447265625,sxk9j1,10,58,30,47,Az
2024-10-16 21:00:00,40.9982299804688,29.0643310546875,sxk9jr,4,107,56,215,Orta
2024-10-26 05:00:00,41.0421752929688,29.1082763671875,sxk9qr,8,52,24,16,Az
2024-10-23 19:00:00,41.1026000976563,28.8446044921875,sxk9b6,52,90,69,14,Az
2024-10-22 00:00:00,41.0696411132813,28.8555908203125,sxk98s,3,157,53,80,Az
2024-10-23 14:00:00,41.1740112304688,28.5589599609375,sxk61z,65,172,94,114,Orta
2024-10-15 02:00:00,41.0751342773438,28.9324951171875,sxk9dm,9,54,30,11,Az
2024-10-14 10:00:00,41.1685180664063,28.9105224609375,sxkd1y,17,81,48,43,Az
2024-10-31 08:00:00,40.9817504882813,28.8885498046875,sxk91k,2,99,38,398,Cok
2024-10-29 21:00:00,41.1520385742188,28.1414794921875,sxk407,69,171,107,38,Az
2024-10-24 05:00:00,41.0971069335938,28.3502197265625,sxk1v1,49,131,86,60,Az
2024-10-12 19:00:00,41.1904907226563,28.0975341796875,sx7fr6,45,140,86,69,Az
2024-10-25 02:00:00,41.0586547851563,28.0865478515625,sx7cx4,55,139,92,12,Az
2024-10-17 16:00:00,40.9542846679688,29.1412353515625,sxk8zp,2,108,44,112,Orta
2024-10-03 13:00:00,40.9158325195313,29.3280029296875,sxkbg2,32,135,69,337,Cok
2024-10-07 11:00:00,40.9542846679688,29.1082763671875,sxk8yr,2,82,24,71,Az
2024-10-07 14:00:00,41.0916137695313,28.9434814453125,sxk9f8,2,123,46,439,Cok
2024-10-20 10:00:00,41.0806274414063,28.7127685546875,sxk3tq,26,60,43,1,Az
2024-10-03 15:00:00,40.7730102539063,29.4268798828125,sxhzvw,2,97,47,63,Az
2024-10-12 02:00:00,40.9432983398438,29.3060302734375,sxkbfv,14,73,38,29,Az
2024-10-07 15:00:00,41.0806274414063,28.6248779296875,sxk3eq,1,106,33,298,Orta
2024-10-07 12:00:00,41.0806274414063,28.7896728515625,sxk3xn,2,75,29,191,Orta
2024-10-15 14:00:00,41.2454223632813,28.5699462890625,sxk6dh,15,120,47,27,Az
2024-10-16 10:00:00,40.9817504882813,29.1961669921875,sxkc0k,1,119,37,487,Cok
2024-10-17 10:00:00,41.0202026367188,28.8116455078125,sxk3re,1,98,37,617,Cok
2024-10-12 17:00:00,41.1245727539063,29.3829345703125,sxkcuw,89,120,102,4,Az
2024-10-19 15:00:00,41.1630249023438,29.0423583984375,sxkdhv,9,52,33,21,Az
2024-10-30 17:00:00,41.0092163085938,28.5369873046875,sxk333,19,109,52,130,Orta
2024-10-24 05:00:00,41.1465454101563,28.2843017578125,sxk45d,63,156,87,20,Az
2024-10-11 14:00:00,41.1740112304688,29.2401123046875,sxkf1r,52,175,94,287,Orta
2024-10-18 03:00:00,41.1080932617188,28.5479736328125,sxk3ce,58,126,85,31,Az
2024-10-09 15:00:00,41.0147094726563,29.1961669921875,sxkc26,1,117,45,319,Cok
2024-10-21 11:00:00,40.8609008789063,29.2730712890625,sxkb6n,3,106,50,345,Cok
2024-10-16 09:00:00,41.1795043945313,28.0865478515625,sx7fr0,61,100,74,10,Az
2024-10-29 03:00:00,41.0751342773438,29.1082763671875,sxk9wm,88,148,108,25,Az
2024-10-17 12:00:00,41.1026000976563,28.9984130859375,sxk9gf,2,136,60,791,Cok
2024-10-23 23:00:00,41.0861206054688,28.5150146484375,sxk38z,21,115,55,63,Az
2024-10-27 11:00:00,41.0147094726563,28.5479736328125,sxk33d,6,105,67,94,Az
2024-10-24 22:00:00,41.1740112304688,29.2510986328125,sxkf1x,58,154,88,75,Az
2024-10-16 17:00:00,41.0311889648438,28.8226318359375,sxk3rv,1,54,18,198,Orta
2024-10-28 05:00:00,41.0366821289063,29.1961669921875,sxkc2q,44,122,81,11,Az
2024-10-31 01:00:00,40.9158325195313,29.1412353515625,sxk8z0,5,61,31,20,Az
2024-10-16 13:00:00,41.0476684570313,29.1302490234375,sxk9wb,2,152,73,138,Orta
2024-10-15 21:00:00,40.9817504882813,29.1632080078125,sxk9ps,6,79,33,28,Az
2024-10-01 04:00:00,41.1026000976563,29.0423583984375,sxk9uf,35,65,47,3,Az
